서대문을,정두언,N,새누리당,doorun
서대문을,이상훈,N,통합진보,hunrunme
서초갑,박세일,N,국민생각,p_seil
서초갑,안준성,N,무소속,Cyberpiano
서초갑,양한별,N,무소속,없음
서초갑,이혜훈,미정,새누리당,leehyehoon
서초을,임지아,N,민주통합,없음
서초을,전경일,미정,민주통합,jeonkyeongil
서초을,조성두,미정,민주통합,chosungdoo
서초을,고승덕,미정,새누리당,dreamfarmers
서초을,박성중,미정,새누리당,parksungjoong
서초을,양지청,미정,새누리당,savejcy
서초을,유철환,미정,새누리당,없음
서초을,이충범,미정,새누리당,humanlawyer
서초을,임중연,미정,새누리당,없음
서초을,황인경,미정,새누리당,hjam37
서초을,김어진,N,통합진보,없음
성동갑,최재천,N,민주통합,your_rights
성동갑,김태기,N,새누리당,taigikim
성동을,임종석,N,민주통합,jsstorynet
성동을,김동성,N,새누리당,dskim217
성동을,서정민,N,창조한국당,없음
성동을,남희정,N,통합진보,heejng
성북갑,정태근,N,무소속,newjtk
성북갑,유승희,N,민주통합,337ysh
성북갑,유중하,미정,새누리당,없음
성북갑,정태흥,N,통합진보,bigrise21
성북을,신계륜,N,민주통합,shingr
성북을,서찬교,N,새누리당,ckseo21c
송파갑,박인숙,N,새누리당,없음
송파갑,이정현,미정,미래연합,없음
송파병,정균환,N,민주통합,KH_Chung
송파병,김을동,미정,새누리당,euldongkim
송파병,이계경,미정,새누리당,keikyung
송파을,박계동,N,국민생각,kedong_park
송파을,유일호,N,새누리당,ilhoYoo
양천갑,차영,N,민주통합,cha_young
양천갑,길정우,N,새누리당,oraclepeter
양천을,김순범,N,무소속,없음
양천을,김한정,Y,민주통합,hanjungok
양천을,이용선,Y,민주통합,yslee9282
양천을,김용태,N,새누리당,ytnetwork
양천을,권혁태,N,통합진보,99percent_win
영등포갑,여세현,N,무소속,gangsan65
영등포갑,김영주,N,민주통합,yjkim550727
영등포갑,박선규,N,새누리당,parksunkyoo
영등포갑,박무,N,통합진보,parkmoo1
영등포을,김경재,N,국민생각,없음
영등포을,권영세,N,새누리당,Kwon_Youngse
영등포을,정호진,N,통합진보,hojinbo
용산,이희정,N,국민행복당,없음
용산,박장규,N,무소속,없음
용산,조순용,N,민주통합,chosoonyong
용산,진영,N,새누리당,ChinYoung
용산,김종민,N,통합진보,vvitt21
은평갑,이미경,N,민주통합,lmk2014
은평갑,최홍재,N,새누리당,choihongjae
은평갑,안효상,N,진보신당,siempreauden
은평을,박의정,미정,국민행복당,없음
은평을,고연호,Y,민주통합,yeonhoko
은평을,민병오,Y,민주통합,bomin2all
은평을,송미화,Y,민주통합,songmeewha
은평을,최승국,Y,민주통합,seungkookc
은평을,최창환,Y,민주통합,choiedai
은평을,이재오,N,새누리당,JaeOhYi
은평을,천호선,N,통합진보,hosun1000
종로,김준수,Y,국민행복당,없음
종로,정재복,Y,국민행복당,없음
종로,홍성훈,Y,국민행복당,없음
종로,서맹종,N,무소속,없음
종로,임종탁,N,무소속,없음
종로,한승문,N,무소속,없음
종로,정세균,N,민주통합,sk0926
종로,홍사덕,N,새누리당,없음
종로,김원열,N,통합진보,bulgum
종로구,최백순,N,진보신당,gramsci2000
중구,장준영,미정,국민생각,없음
중구,정호준,N,민주통합,chyung21
중구,정진석,N,새누리당,js0904
중구,조순형,N,자유선진당,없음
중구,오정익,N,청년당,ohjungik
중구,김인식,N,통합진보,leftkis
중랑갑,강경환,N,무소속,없음
중랑갑,서영교,N,민주통합,seoyoungkyo
중랑갑,김정,N,새누리당,ugongcherie
중랑을,윤정호,N,국민행복당,없음
중랑을,이경태,N,무소속,vlsionkt
중랑을,박홍근,N,민주통합,maumgil
중랑을,강동호,Y,새누리당,jungnang_kangdh
중랑을,윤상일,Y,새누리당,withysi
