,공천자 명단 가나다순
추가,선 거 구,성명,경선실시,,트위터,페이스북
1,동작갑,이재무,,무소속,http://twitter.com/ranglangid,http://www.facebook.com/people/%EC%9D%B4%EC%9E%AC%EB%AC%B4/100003403629051
,동작을,이계안,N,민주통합,https://twitter.com/withkal,http://www.facebook.com/withkal
,동작을,정몽준,N,새누리,http://twitter.com/ourmj,없음
,마포갑,김진애,Y,민주통합,https://twitter.com/jk_space,http://www.facebook.com/jkspace
,마포갑,노웅래,Y,민주통합,https://twitter.com/GoWith_WRaenoh,http://www.facebook.com/gowithwrae
,마포갑,신영섭,N,새누리,https://twitter.com/mapo_jjang,http://www.facebook.com/profile.php?id=100001142702691
,마포을,김성동,N,새누리,https://twitter.com/OKSD_KIM, http://www.facebook.com/oksdkim
,마포을,김태완,N,통합진보,https://twitter.com/taewank510,http://www.facebook.com/ktw510
,마포을,정청래,N,민주통합,http://twitter.com/ssaribi,http://www.facebook.com/cheongrae
1,마포을,서현진,,무소속,없음,없음
,서대문갑,우상호 ,N,민주통합,https://twitter.com/uzzazza,http://www.facebook.com/woosangho
,서대문갑,이성헌,N,새누리,https://twitter.com/21sh,http://www.facebook.com/21shlee
,서대문을,김영호,Y,민주통합,https://twitter.com/minjoo05,없음
,서대문을,이근호,Y,민주통합,https://twitter.com/kunoleee,없음
,서대문을,이상훈,N,통합진보,https://twitter.com/hunrunme,http://www.facebook.com/ktw510
,서대문을,정두언,N,새누리,http://twitter.com/doorun,없음
1,서대문을,홍성덕,,무소속,없음,없음
1,서초갑,양한별,,무소속,없음,없음
1,서초갑,안준성,,무소속,http://twitter.com/Cyberpiano,없음
1,서초갑,박세일,,국민생각,http://twitter.com/p_seil,http://www.facebook.com/parksaeil
,서초을,김어진,N,통합진보,없음,http://www.facebook.com/kimeojin21
1,서초을,최우원,,무소속,없음,없음
,성동갑,김태기,N,새누리,https://twitter.com/taigikim,http://www.facebook.com/withkim21
,성동갑,최재천,N,민주통합,http://twitter.com/your_rights,http://www.facebook.com/cjc4y
,성동을,김동성,N,새누리,https://twitter.com/dskim217,http://www.facebook.com/profile.php?id=100001805768628&sk=info
,성동을,남희정,N,통합진보,https://twitter.com/heejng,http://www.facebook.com/heejng
,성동을,임종석,N,민주통합,http://twitter.com/jsstorynet,http://www.facebook.com/myjsstory
,성북갑,유승희,N,민주통합,https://twitter.com/337ysh,없음
,성북갑,정태흥,N,통합진보,"http://twitter.com/bigrise21
",없음
1,성북갑,정태근,,무소속,http://twitter.com/newjtk,http://www.facebook.com/bigroot21
,성북을,서찬교,N,새누리,https://twitter.com/ckseo21c,http://www.facebook.com/ckseo21c
,성북을,신계륜,N,민주통합,https://twitter.com/shingr,http://www.facebook.com/sgr21
1,송파갑,박인숙,N,새누리,없음,없음
,송파을,유일호 ,N,새누리,https://twitter.com/ilhoYoo,없음
1,송파을,박계동,,국민생각,http://twitter.com/kedong_park,없음
,양천갑,길정우,N,새누리,https://twitter.com/oraclepeter,http://www.facebook.com/OraclePeter
,양천갑,차 영,N,민주통합,http://twitter.com/cha_young,http://www.facebook.com/young.cha2
,양천을,권혁태,N,통합진보,https://twitter.com/99percent_win,없음
,양천을,김용태,N,새누리,https://twitter.com/ytnetwork,http://www.facebook.com/ytnetwork
,양천을,김한정,Y,민주통합,https://twitter.com/hanjungok,http://www.facebook.com/kimhanjung
,양천을,이용선,Y,민주통합,http://twitter.com/yslee9282,http://www.facebook.com/yslee9282
,영등포갑,김영주,N,민주통합,https://twitter.com/yjkim550727,http://www.facebook.com/youngjoo2012
,영등포갑,박무,N,통합진보,https://twitter.com/parkmoo1,https://twitter.com/parkmoo1
,영등포갑,박선규,N,새누리,https://twitter.com/parksunkyoo,http://www.facebook.com/sunpark2012
1,영등포갑,여세현,,무소속,http://twitter.com/gangsan65,없음
,영등포을,권영세,N,새누리,http://twitter.com/Kwon_Youngse,http://www.facebook.com/yskwon21
,영등포을,정호진,N,통합진보,https://twitter.com/hojinbo,http://www.facebook.com/hojinbo
1,영등포을,김경재,,국민생각,없음,없음
,용산,김종민,N,통합진보,https://twitter.com/vvitt21,없음
,용산,조순용,N,민주통합,https://twitter.com/chosoonyong,없음
,용산,진 영,N,새누리,https://twitter.com/ChinYoung,없음
,은평갑,이미경,N,민주통합,https://twitter.com/lmk2014,http://facebook.com/leemikyung
,은평갑,최홍재,N,새누리,https://twitter.com/choihongjae,없음
,은평을,이재오,N,새누리,http://twitter.com/JaeOhYi,http://www.facebook.com/jaeohyi.joy
,은평을,천호선,N,통합진보,http://twitter.com/hosun1000,http://www.facebook.com/hosun1000
1,종로,서맹종,,무소속,없음,없음
,종로,김원열,N,통합진보,https://twitter.com/bulgum,http://www.facebook.com/bulnan
,종로,정세균,N,민주통합,http://twitter.com/sk0926,http://www.facebook.com/peopleinside2012
,종로,홍사덕,N,새누리,없음,없음
1,종로,한승문,,무소속,없음,없음
1,종로,임종탁,,무소속,없음,없음
1,중구,정진석,N,새누리,https://twitter.com/js0904,없음
1,중구,조순형,N,자유선진당,없음,없음
,중랑갑,김정,N,새누리,https://twitter.com/ugongcherie,http://www.facebook.com/ugongcherie
,중랑갑,서영교,N,민주통합,https://twitter.com/seoyoungkyo,https://twitter.com/seoyoungkyo
1,중랑갑,강경환,,무소속,없음,없음
,중랑을,강동호,Y,새누리,https://twitter.com/jungnang_kangdh,http://www.facebook.com/kang7777
,중랑을,박홍근,N,민주통합,https://twitter.com/maumgil/status/179040293469962242,http://www.facebook.com/maumgil
,중랑을,윤상일,Y,새누리,https://twitter.com/withysi,http://www.facebook.com/withysi
1,중랑을,이경태,,무소속,http://twitter.com/vlsionkt,없음
