중구동구,새누리당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2603/Sgg2260101/Hb100102199/gicho/100102199.jpg,정의화,鄭義和,남,1948/12/18,63세,부산 중구 영주로,국회의원,인제대 대학원 의학박사 (졸),"(전)한나라당 비대위위원장,(현)18대 국회부의장"
중구동구,민주통합당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2603/Sgg2260101/Hb100101118/gicho/100101118.jpg,이해성,李海成,남,1953/12/15,58세,부산 동구 자성로116번길 ,정당인,서울대학교 경영학과 졸업,"(전)청와대 홍보수석비서관,(전)한국조폐공사 사장"
중구동구,무소속,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2603/Sgg2260101/Hb100102914/gicho/100102914.jpg,문창무,文昌武,남,1946/06/14,65세,부산 중구 동광길93번길,캐논코리아파트너 대표,부산대학교 행정대학원 행정학과 졸,"(전)중구의회2,3대의원,(전)박근혜대선후보 특보 "
중구동구,무소속,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2603/Sgg2260101/Hb100100821/gicho/100100821.jpg,박성민,朴城民,남,1957/04/26,54세,부산 동구 조방로26번길,무직,서울대학교 정치학과 졸업,"(전)국립공원관리공단 이사장 직대,(전)한나라당 부산시당 사무처장"
중구동구,무소속,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2603/Sgg2260101/Hb100102879/gicho/100102879.jpg,박희동,朴熙東,남,1961/09/08,50세,부산 동구 망양로668번길,영남외국어대학 사회복지과 교수,경기대학교 대학원 졸업(정치학 석사),"(현)한일 한우리 복지회 이사장 ,(현)부산 밥퍼공동체 위원장 "
서구,새누리당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2602/Sgg2260201/Hb100102179/gicho/100102179.jpg,유기준,兪奇濬,남,1959/08/10,52세,부산 서구 망양로,국회의원,"뉴욕대학교 법학대학원 졸업(법학석사,1988.8.29.~1989.5.18.)","(전) 한나라당 대변인,(현) 새누리당 부산시당위원장"
서구,민주통합당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2602/Sgg2260201/Hb100102516/gicho/100102516.jpg,이재강,李在康,남,1962/07/20,49세,부산 서구 천마로,재영언론인,런던정경대학 정치학과 박사과정 수료(1993.10.1~2005.9.30),"(현) 재영언론인,(현) 재영한인회 부회장 "
서구,무소속,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2602/Sgg2260201/Hb100100023/gicho/100100023.jpg,정오규,鄭吾奎,남,1961/03/13,51세,부산 서구 암남동,생활정치닷컴 대표,동아대학교 체육학과 졸업,"(전) 민주당 부산광역시당 위원장,(현) 생활정치닷컴 대표"
영도구,새누리당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2604/Sgg2260401/Hb100100212/gicho/100100212.jpg,이재균,李在均,남,1954/09/20,57세,부산 영도구 태종로,동아대학교 석좌교수,한국해양대학교 해운경영학 박사,"(전)국토해양부 제2차관,(전)해외건설협회 회장"
영도구,통합진보당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2604/Sgg2260401/Hb100100454/gicho/100100454.jpg,민병렬,閔丙烈,남,1961/07/30,50세,부산 영도구 절영로,정당인,서울대학교 사회학과 졸업,"(현)통합진보당 부산시당 공동위원장,(전)MB악법저지 부산시국회의 공동대표"
영도구,진보신당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2604/Sgg2260401/Hb100100244/gicho/100100244.jpg,김영희,金英姬,여,1963/01/03,49세,부산 영도구 봉래동1가,정당인,부산대학교 사학과 졸업,"(전)부산광역시의회 시의원,(현)진보신당 부산시당 위원장"
영도구,무소속,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2604/Sgg2260401/Hb100101593/gicho/100101593.JPG,이영,李英,남,1947/05/15,64세,부산 영도구 영선동,(주)부산상공산업단지개발 대표,부산대학교 법정대학 정치외교학과 졸업,"(전)부산시의회의장,(현)남해안시대포럼 상임의장"
부산진갑,새누리당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2605/Sgg2260501/Hb100102535/gicho/100102535.jpg,나성린,羅城麟,남,1953/03/27,59세,부산 부산진구 거제대로,국회의원,옥스퍼드대학교 경제학 박사('84.10 ~ '88.11),"(현) 한양대학교 경제금융학부 교수,(현) 새누리당 정책위 부의장"
부산진갑,민주통합당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2605/Sgg2260501/Hb100100346/gicho/100100346.jpg,김영춘,金榮春,남,1962/02/05,50세,부산 부산진구 새싹로,정당인,고려대학교 대학원 정치외교학과 석사,"(전) 16 · 17대 국회의원,(전) 민주당 최고위원"
부산진갑,무소속,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2605/Sgg2260501/Hb100100494/gicho/100100494.jpg,정근,鄭根,남,1960/09/08,51세,부산 부산진구 신천대로220번길,의사,부산대학교 의과대학원 의학과 안과학전공 의학박사,"(현) 정근안과 원장,(현) 부산광역시의사회 회장"
부산진을,새누리당,http://info.nec.go.kr/photo_20120411/Sd2600/Gsg2605/Sgg2260502/Hb100100780/gicho/100100780.jpg,이헌승,李憲昇,남,1963/05/11,48세,부산 부산진구 개금3동,정당인,한국해양대학교 무역학과 박사과정 수료,"(전) 한나라당 박근혜 대통령경선후보 수행부단장,(전) 부산광역시 대외협력보좌관"
